N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
108,한화시스템,"14,300",800,-5.30%,"5,000","27,015","188,919",2.09,"893,032",17.33,9.35,
109,현대미포조선,"67,300","2,600",-3.72%,"5,000","26,881","39,942",10.85,"315,658",-17.49,-0.84,
110,BNK금융지주,"7,950",70,-0.87%,"5,000","25,912","325,935",40.09,"1,650,500",3.18,6.11,
111,CJ대한통운,"113,000","4,000",-3.42%,"5,000","25,778","22,812",21.01,"55,741",87.53,3.89,
112,에스원,"67,800","2,200",-3.14%,500,"25,763","37,999",52.86,"43,456",16.95,10.48,
113,한화생명,"2,950",45,-1.50%,"5,000","25,622","868,530",8.15,"2,397,018",3.35,1.90,
114,팬오션,"4,775",125,-2.55%,"1,000","25,526","534,570",11.50,"2,503,105",8.20,3.25,
115,포스코인터내셔널,"20,250",950,-4.48%,"5,000","24,983","123,375",7.22,"932,763",8.19,7.69,
116,동서,"24,850","1,000",-3.87%,500,"24,775","99,700",2.73,"191,771",23.33,8.61,
117,한솔케미칼,"218,000","10,000",-4.39%,"5,000","24,711","11,335",43.10,"152,289",17.01,24.50,
118,제일기획,"21,300",50,-0.23%,200,"24,504","115,041",31.56,"348,819",12.55,16.11,
119,한화에어로스페이스,"47,100","1,500",-3.09%,"5,000","23,847","50,630",17.10,"503,786",8.55,4.78,
120,만도,"49,650","1,650",-3.22%,"1,000","23,314","46,957",19.17,"376,406",10.46,0.37,
121,KODEX 200선물인버스2X,"2,720",165,+6.46%,0,"23,256","855,000",7.93,"326,445,067",N/A,N/A,
122,키움증권,"88,000","2,600",-2.87%,"5,000","23,073","26,220",25.43,"115,025",2.53,27.63,
123,현대해상,"25,600",700,-2.66%,500,"22,886","89,400",26.97,"441,292",5.98,7.13,
124,대우건설,"5,380",90,-1.65%,"5,000","22,360","415,623",10.93,"1,548,926",4.57,11.06,
125,LG화학우,"290,500","22,500",-7.19%,"5,000","22,336","7,689",71.43,"28,014",7.57,N/A,
126,CJ,"76,500","1,100",-1.42%,"5,000","22,320","29,177",17.03,"87,885",66.29,1.89,
127,현대차우,"91,400","2,100",-2.25%,"5,000","22,262","24,357",58.25,"39,686",4.63,N/A,
128,두산퓨얼셀,"33,800","4,500",-11.75%,100,"22,137","65,494",14.15,"1,357,976",676.00,4.18,
129,신세계,"222,500","12,000",-5.12%,"5,000","21,906","9,845",24.46,"106,459",8.36,-2.81,
130,롯데쇼핑,"76,900","2,400",-3.03%,"5,000","21,754","28,289",11.22,"100,883",-8.17,-7.70,
